#line, expected, detected, text
23, zh, zh-Hant, 令人敬畏 ""-它是四周大 <br><br>"-"-我爱这一切
28, zh, un, 令人愉快 "舒适的床上是"<br><br>""-酒吧。
34, zh, zh-Hant, 11:0 上午埃尔多拉多什里夫波特 $120 NL 扑克锦标赛 $75 插件 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-120-1100am-nl-holdem-poker-tournament?topid=84324-2016-02-06...
48, zh, un, 例外 "-"-烟味
49, zh, en, 啊哈，一个完美的世外桃源。 #EldoradoShreveport #OnlyLouisiana #Shreveport #Travel #Louisiana #Hotels pic.twitter.com/CicJngA0ep
50, zh, en, 6:30 下午埃尔多拉多什里夫波特 $130 NL 扑克锦标赛 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-130-630pm-nl-holdem-poker-tournament?topid=95857-2016-02-05...
51, zh, en, 啊哈，一个完美的世外桃源。 #EldoradoShreveport #OnlyLouisiana #Shreveport #Travel #Louisiana #Hotels pic.twitter.com/CicJngA0ep
56, zh, en, 6:30 下午埃尔多拉多什里夫波特 $165 NL 扑克锦标赛 $50 插件 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-165-630pm-nl-holdem-poker-tournament?topid=88484-2016-02-04...
65, zh, en, 6:30 下午埃尔多拉多什里夫波特 $145 NL 扑克锦标赛 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-145-630pm-nl-holdem-bounty-poker-tournament?topid=84323-2016-02-03...
66, zh, un, 只是美丽的 #Shreveport 一天!: @mybrightlens #EldoradoShreveport #OnlyLouisiana #Travel #Hotels #Louisiana pic.twitter.com/ld7wuHZtiW
67, zh, un, 只是美丽的 #Shreveport 一天!: @mybrightlens #EldoradoShreveport #OnlyLouisiana #Travel #Hotels #Louisiana pic.twitter.com/ld7wuHZtiW
68, zh, un, 我们爱他们的总统套房的意见!https://twitter.com/HiltonLondonMet/status/694891810733318144...
69, zh, un, 你还打算你 #Valentine 那天呢? http://expi.co/0oC2b #London pic.twitter.com/6lso7z4l6r
70, zh, zh-Hant, 好 "易清洗"— — 25 床清洗地板留也不错。
74, zh, en, There’s absolutely no better place to be on 19th March 2016 than at the @HiltonLondonMet #SNA2016
75, zh, un, 令人惊奇的镜头的 @whoknowsyo!https://www.instagram.com/eldoradoshreveport/...pic.twitter.com/KB7a5s3qQF
90, zh, un, 如何华丽是 #Shreveport?: @seeshreveportbossier #EldoradoShreveport #OnlyLouisiana #Travel #Louisiana #Sunrise pic.twitter.com/ldwVaiGDaQ
92, zh, un, 如何华丽是 #Shreveport?: @seeshreveportbossier #EldoradoShreveport #OnlyLouisiana #Travel #Louisiana #Sunrise pic.twitter.com/ldwVaiGDaQ
94, zh, un, @ 宜必思酒店 Hong 香港中央及上环的 https://www.instagram.com/p/BBGzXOrh0bX/ 늦잠
101, zh, un, 从埃尔多拉多你好!#EldoradoShreveport #Shreveport #Travel #Louisiana #OnlyLouisiana #Hotels pic.twitter.com/KK8nMfKrWb
103, zh, en, 嗨，#London pic.twitter.com/gZ9AQ4jPoz
114, zh, un, @HiltonLondonMet @inpaddington 甘蔗蟾蜍 & 漏斗 web 油条是死的。
118, zh, un, @HiltonLondonMet @inpaddington 甘蔗蟾蜍 & 漏斗 web 油条是死的。
120, zh, en, Millbrook team on their way to @HiltonLondonMet for the @BCIS_uk ACI 2016 Conference #BCISACI2016
121, zh, en, Hong Kong travel/hotels/Hong Kong view the jackpot, the sex ratio of the best Avis Western District hotel (Hong Kong Central &amp; Western District Hotel Hong Kong Hotel ibis Central and Sheung Wan) http://rubygarden.tistory.com/1634
124, zh, un, 高超 ""-的房间很棒!
139, zh, en, 令人惊叹。: @shotsbystevn #EldoradoShreveport #OnlyLouisiana #Shreveport #Travel #Louisiana pic.twitter.com/5XCjnWr4mW
141, zh, en, 只是宣布: 什里夫波特，路易斯安那-03 月 19 日在埃尔多拉多赌场 http://www.bandsintown.com/event/11282402?artist=Electric 马戏团乐队 & came_from = 217...
147, zh, un, 可怕的床和臭的酒店。 "-"-床是质量很差。斯普林斯，在你的背部。总理酒店更好。三通
172, zh, un, 日期是星期六 2016 年 3 月 19 日，伦敦京都希尔顿酒店是的地方，你们是人!@HiltonLondonMet #SNA2016
174, zh, un, 玩在什里夫波特，洛杉矶展出 9:0 下午今天在埃尔多拉多度假村赌场什里夫波特 http://artistdata.com/a/jkha
184, zh, en, TGIF。时间玩!: #OnlyLouisiana #Shreveport @urbanviking #EldoradoShreveport #Gamble #Poker #Travel #Louisiana pic.twitter.com/MuDolyKLaH
185, zh, en, 6:30 下午埃尔多拉多什里夫波特 $130 NL 扑克锦标赛 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-130-630pm-nl-holdem-poker-tournament?topid=95857-2016-01-22...
186, zh, en, 花 @shotsbystevn 令人印象深刻!#OnlyLouisiana #Shreveport #EldoradoShreveport #Chandelier #Travel #Hotels #Louisiana pic.twitter.com/G9wauyxFBk
188, zh, un, 所有周我们都已经好了!第 pic.twitter.com/zDUDf7ilLk #FridayFeeling
189, zh, en, TGIF。时间玩!: #OnlyLouisiana #Shreveport @urbanviking #EldoradoShreveport #Gamble #Poker #Travel #Louisiana pic.twitter.com/MuDolyKLaH
190, zh, en, 6:30 下午埃尔多拉多什里夫波特 $130 NL 扑克锦标赛 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-130-630pm-nl-holdem-poker-tournament?topid=95857-2016-01-22...
191, zh, en, 花 @shotsbystevn 令人印象深刻!#OnlyLouisiana #Shreveport #EldoradoShreveport #Chandelier #Travel #Hotels #Louisiana pic.twitter.com/G9wauyxFBk
